date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,target
0.030707,7,0.340426,0.089828,0.298572,0.003467,0.422915,0.414912,True
0.030707,7,0.361702,0.089828,0.319101,0.003467,0.422915,0.414912,True
0.030707,7,0.382979,0.089828,0.322672,0.003467,0.422915,0.414912,True
0.030707,7,0.404255,0.083794,0.320589,0.003467,0.422915,0.414912,True
0.030707,7,0.425532,0.089828,0.310176,0.003467,0.422915,0.414912,True
0.030707,7,0.446809,0.083794,0.310473,0.003467,0.422915,0.414912,True
0.030707,7,0.468085,0.083794,0.308837,0.003467,0.422915,0.414912,True
0.030707,7,0.489362,0.083794,0.299018,0.003467,0.422915,0.414912,True
0.030707,7,0.510638,0.077489,0.294109,0.003467,0.422915,0.414912,True
0.030707,7,0.531915,0.083794,0.284885,0.003467,0.422915,0.414912,True
0.030707,7,0.553191,0.083794,0.279827,0.003467,0.422915,0.414912,True
0.030707,7,0.574468,0.083794,0.274769,0.003467,0.422915,0.414912,True
0.030707,7,0.595745,0.089828,0.273431,0.003467,0.422915,0.414912,True
0.030707,7,0.617021,0.089828,0.277298,0.003467,0.422915,0.414912,True
0.030707,7,0.638298,0.083884,0.276555,0.003467,0.422915,0.414912,True
0.030707,7,0.659574,0.083794,0.288158,0.003467,0.422915,0.414912,True
0.030707,7,0.680851,0.089828,0.282505,0.003467,0.422915,0.414912,True
0.030707,7,0.702128,0.089828,0.299911,0.003467,0.422915,0.414912,True
0.030707,7,0.723404,0.093671,0.317465,0.003467,0.422915,0.414912,True
0.030707,7,0.744681,0.089828,0.327432,0.003467,0.422915,0.414912,True
0.030707,7,0.765957,0.089828,0.329664,0.003467,0.422915,0.414912,True
0.030707,7,0.787234,0.10565,0.350342,0.003467,0.422915,0.414912,True
0.030707,7,0.808511,0.10565,0.355846,0.003467,0.422915,0.414912,True
0.030707,7,0.829787,0.083794,0.347069,0.003467,0.422915,0.414912,True
